Episode,Return
1236,173.11111111111111
1237,173.11111111111111
1238,173.44444444444446
1239,175.22222222222223
1240,175.44444444444446
1241,178.55555555555554
1242,180.66666666666666
1243,180.66666666666666
1244,181.33333333333334
1245,180.55555555555554
1246,180.33333333333334
1247,180.33333333333334
1248,179.0
1249,180.66666666666666
1250,179.88888888888889
1251,179.77777777777777
1252,179.11111111111111
1253,179.55555555555554
1254,180.33333333333334
1255,180.11111111111111
1256,179.0
1257,178.22222222222223
1258,176.88888888888889
1259,153.22222222222223
1260,153.33333333333334
1261,149.33333333333334
1262,149.0
1263,149.0
1264,148.44444444444446
1265,149.11111111111111
1266,151.22222222222223
1267,153.0
1268,176.55555555555554
1269,176.55555555555554
1270,181.88888888888889
1271,182.22222222222223
1272,180.33333333333334
1273,180.77777777777777
1274,177.66666666666666
1275,175.0
1276,174.66666666666666
1277,174.66666666666666
1278,174.66666666666666
1279,173.22222222222223
1280,169.77777777777777
1281,171.66666666666666
1282,170.66666666666666
1283,173.55555555555554
1284,173.77777777777777
1285,174.11111111111111
1286,174.33333333333334
1287,173.11111111111111
1288,172.11111111111111
1289,176.0
1290,175.55555555555554
1291,177.11111111111111
1292,177.0
1293,179.0
1294,176.77777777777777
1295,176.66666666666666
1296,177.33333333333334
1297,179.77777777777777
1298,177.77777777777777
1299,177.33333333333334
1300,174.44444444444446
1301,174.77777777777777
1302,175.22222222222223
1303,177.44444444444446
1304,178.22222222222223
1305,178.77777777777777
1306,178.77777777777777
1307,179.44444444444446
1308,179.66666666666666
1309,182.0
1310,181.55555555555554
1311,181.11111111111111
1312,181.11111111111111
1313,177.66666666666666
1314,176.0
1315,174.0
1316,175.33333333333334
1317,174.77777777777777
1318,175.33333333333334
1319,173.0
1320,173.44444444444446
1321,172.55555555555554
1322,176.0
1323,177.66666666666666
1324,178.77777777777777
1325,178.11111111111111
1326,178.88888888888889
1327,178.44444444444446
1328,181.66666666666666
1329,181.66666666666666
1330,180.77777777777777
1331,179.66666666666666
1332,179.66666666666666
1333,178.88888888888889
1334,178.77777777777777
1335,178.0
1336,176.44444444444446
1337,176.44444444444446
1338,175.66666666666666
1339,175.88888888888889
1340,176.88888888888889
1341,176.88888888888889
1342,178.11111111111111
1343,178.11111111111111
1344,179.33333333333334
1345,181.33333333333334
1346,180.44444444444446
1347,179.33333333333334
1348,180.44444444444446
1349,180.55555555555554
1350,180.55555555555554
1351,180.55555555555554
1352,181.33333333333334
1353,181.22222222222223
1354,180.11111111111111
1355,179.33333333333334
1356,179.22222222222223
1357,178.44444444444446
1358,176.66666666666666
1359,176.22222222222223
1360,176.66666666666666
