,Episode,Return,Step
252,252,-1148.9703436002894,1068.1100166881924
253,253,-1085.7733092402605,1021.0990150193732
254,254,-1079.0959783162343,1012.9891135174358
255,255,-1122.486380484611,1039.3902021656922
256,256,-1092.7377424361498,1020.051181949123
257,257,-1139.7639681925348,1054.6460637542107
258,258,-1089.7875713732813,1015.4814573787896
259,259,-1033.8088142359532,976.0333116409107
260,260,-1014.5279328123579,957.2299804768196
261,261,-1038.475139531122,973.0069824291377
262,262,-1042.1276255780099,992.1062841862239
263,263,-1079.0148630202088,1036.0956557676016
264,264,-1085.0133767181878,1035.9860901908414
265,265,-1066.412039046369,1016.1874811717572
266,266,-1015.3708351417322,976.1687330545815
267,267,-992.933751627559,956.0518597491233
268,268,-1033.9403764648032,988.146673774211
269,269,-1008.6463388183229,965.8320063967899
270,270,-985.1817049364906,940.348805757111
271,271,-950.3635344428417,914.5139251813998
272,272,-919.3271809985575,890.7625326632599
273,273,-880.0944628987017,860.786279396934
274,274,-898.2850166088315,876.3076514572406
275,275,-899.6565149479483,875.7768863115166
276,276,-958.3908634531534,912.5991976803649
277,277,-1002.251777107838,943.3392779123284
278,278,-1100.7265993970543,1007.0053501210956
279,279,-1078.0539394573489,990.704815108986
280,280,-1106.048545511614,1012.4343335980874
281,281,-1035.8436909604527,962.3909002382786
282,282,-993.8593218644074,929.8518102144508
283,283,-951.6733896779667,898.8666291930057
284,284,-1002.50605071017,936.7799662737051
285,285,-978.1554456391531,919.2019696463346
286,286,-1013.7399010752378,948.4817726817012
287,287,-992.2659109677139,932.4335954135311
288,288,-1017.9393198709425,955.9902358721779
289,289,-1046.9453878838483,991.0912122849601
290,290,-1034.8508490954634,980.5820910564642
291,291,-1201.665764185917,1114.3238819508178
292,292,-1136.9991877673253,1066.991493755736
293,293,-1143.8992689905929,1067.0923443801623
294,294,-1108.5093420915337,1039.183109942146
295,295,-1148.2584078823802,1057.5647989479314
296,296,-1119.2325670941423,1040.7083190531384
297,297,-1100.009310384728,1022.2374871478246
298,298,-1124.408379346255,1037.413738433042
299,299,-1058.9675414116296,988.9723645897378
300,300,-1106.6707872704667,1040.475128130764
301,301,-1139.00370854342,1054.4276153176875
302,302,-1168.0033376890783,1071.9848537859186
303,303,-1109.5030039201704,1030.2863684073268
304,304,-1082.6527035281533,1007.957731566594
305,305,-1035.987433175338,976.8619584099347
306,306,-999.4886898578043,951.0757625689412
307,307,-1110.4398208720238,1037.468186312047
308,308,-1060.9958387848214,996.1213676808424
309,309,-1077.7962549063393,1008.5092309127581
310,310,-1075.2166294157055,1006.7583078214823
311,311,-1026.1949664741348,968.282477039334
312,312,-1017.4754698267213,966.9542293354007
313,313,-1193.3279228440492,1092.2588064018605
314,314,-1200.3951305596443,1098.9329257616746
315,315,-1178.2556175036798,1080.939633185507
316,316,-1141.8300557533116,1050.2456698669564
317,317,-1071.2470501779803,994.7211028802608
318,318,-1004.0223451601823,945.1489925922347
319,319,-1056.020110644164,985.8340933330112
320,320,-1072.5180995797477,993.95068399971
321,321,-1035.766289621773,972.655615599739
322,322,-967.3896606595956,922.2900540397651
323,323,-915.0506945936361,883.8610486357885
324,324,-1052.4456251342724,982.3749437722097
325,325,-1118.1010626208451,1045.7374493949887
326,326,-1081.1909563587606,1023.9637044554898
327,327,-1022.7718607228844,983.9673340099408
328,328,-1021.5946746505961,979.0706006089467
329,329,-999.8352071855364,961.363540548052
330,330,-950.7516864669827,925.2271864932468
331,331,-990.7765178202844,954.004467843922
332,332,-1053.498866038256,995.7040210595299
333,333,-1003.1489794344304,956.1336189535768
334,334,-956.4340814909874,922.1202570582192
335,335,-911.0906733418886,888.5082313523973
336,336,-945.7816060076998,921.2574082171575
337,337,-991.2034454069299,957.5316673954418
338,338,-961.283100866237,928.7785006558976
339,339,-953.2547907796134,929.8006505903078
340,340,-921.1293117016521,907.120585531277
341,341,-899.9163805314869,896.0085269781493
342,342,-839.5247424783382,846.2076742803343
343,343,-799.5722682305044,817.1869068523009
344,344,-767.8150414074539,793.1682161670708
345,345,-913.5335372667084,898.7513945503637
346,346,-1004.6801835400377,965.6762550953273
347,347,-927.4121651860339,904.6086295857946
348,348,-909.3709486674306,893.1477666272151
349,349,-896.4338538006876,887.6329899644936
350,350,-832.1904684206189,836.4696909680443
351,351,-814.5714215785571,822.0227218712398
352,352,-877.1142794207013,862.1204496841158
353,353,-843.1028514786312,834.6084047157042
354,354,-867.3925663307682,847.8475642441338
355,355,-805.5533096976914,801.4628078197204
356,356,-903.6979787279222,872.5165270377483
357,357,-835.22818085513,818.2648743339736
358,358,-817.5053627696169,810.9383869005762
359,359,-771.8548264926552,774.3445482105186
360,360,-828.0693438433897,820.1100933894667
361,361,-805.0624094590506,805.7990840505199
362,362,-814.9561685131456,822.519175645468
363,363,-831.560551661831,834.1672580809211
364,364,-836.1044964956478,836.750532272829
365,365,-803.894046846083,816.9754790455461
366,366,-748.3046421614747,772.0779311409915
367,367,-870.3741779453272,855.8701380268924
368,368,-873.4367601507945,857.6831242242032
369,369,-879.8930841357151,872.7148118017828
370,370,-972.5037757221435,937.9433306216046
371,371,-936.1533981499291,911.948997559444
372,372,-949.4380583349362,916.8540978034997
373,373,-928.0942525014426,897.2686880231498
374,374,-1078.6848272512982,1009.1418192208348
375,375,-1077.7163445261685,1009.3276372987514
376,376,-1233.0447100735516,1123.3948735688762
377,377,-1164.7402390661964,1074.1553862119886
378,378,-1226.6662151595767,1116.3398475907898
379,379,-1176.6995936436192,1081.5058628317108
380,380,-1104.3296342792573,1029.8552765485397
381,381,-1026.7966708513316,972.7697488936857
382,382,-972.0170037661984,928.0927740043171
383,383,-1013.2153033895786,958.5834966038854
384,384,-1051.2937730506208,987.8251469434967
385,385,-1035.9643957455587,982.242632249147
386,386,-1015.3679561710029,972.9183690242323
387,387,-962.6311605539025,931.526532121809
388,388,-938.3680444985123,915.6738789096281
389,389,-901.1312400486611,893.3064910186654
390,390,-1037.618116043795,996.7758419167989
391,391,-975.3563044394156,948.198257725119
392,392,-984.9206739954741,951.3784319526071
393,393,-969.9286065959267,936.9405887573464
394,394,-888.235745936334,872.4465298816118
395,395,-865.2121713427006,856.8018768934506
396,396,-907.0909542084305,885.4216892041055
397,397,-841.7818587875875,833.879520283695
398,398,-822.3036729088287,823.7915682553255
399,399,-803.9733056179458,808.912411429793
400,400,-1004.7759750561512,965.4211702868137
401,401,-991.998377550536,954.2790532581323
402,402,-921.7985397954824,902.7511479323191
403,403,-951.7186858159341,926.8760331390872
404,404,-913.2468172343408,896.0884298251785
405,405,-958.2221355109067,929.4795868426608
406,406,-902.2999219598161,886.0316281583947
407,407,-919.8699297638344,901.7284653425552
408,408,-846.2829367874509,844.7556188082997
409,409,-900.4546431087058,884.5800569274697
410,410,-1025.6091787978353,978.7220512347228
411,411,-936.2482609180519,907.9498461112506
412,412,-890.1234348262467,873.6548615001255
413,413,-893.1110913436221,877.9893753501129
414,414,-895.6999822092599,878.2904378151017
415,415,-853.5299839883339,845.7613940335915
416,416,-913.8769855895005,893.0852546302324
417,417,-892.4892870305505,879.8767291672092
418,418,-995.8403583274953,950.8890562504882
419,419,-950.0563224947458,916.1001506254394
420,420,-906.5506902452712,882.4901355628955
421,421,-883.2956212207441,872.3411220066059
422,422,-799.3660590986697,805.8070098059454
423,423,-761.6294531888027,777.9263088253508
424,424,-747.4665078699225,760.9336779428157
425,425,-726.0198570829302,748.9403101485342
426,426,-709.2178713746372,738.2462791336807
427,427,-767.6960842371734,783.4216512203126
428,428,-729.2264758134561,750.8794860982813
429,429,-682.1038282321105,715.4915374884531
430,430,-631.2934454088994,678.0423837396079
431,431,-611.3641008680095,660.9381453656472
432,432,-874.0276907812085,859.8443308290825
433,433,-930.9249217030876,902.3598977461743
434,434,-949.7324295327788,914.4239079715568
435,435,-998.6591865795009,957.2815171744011
436,436,-955.1932679215508,923.153365456961
437,437,-937.4739411293957,907.6380289112649
438,438,-1024.526547016456,972.3742260201384
439,439,-1051.4738923148107,996.2368034181246
440,440,-972.2265030833296,935.1131230763121
441,441,-965.7038527749966,930.6018107686809
442,442,-1015.2334674974968,970.1416296918128
443,443,-1039.9101207477472,990.5274667226315
444,444,-986.5191086729725,948.4747200503684
445,445,-926.0671978056753,904.2272480453316
446,446,-971.3604780251078,937.2045232407985
447,447,-937.224430222597,909.0840709167187
448,448,-858.8019872003373,847.2756638250469
449,449,-806.6217884803036,806.7480974425423
450,450,-833.6596096322733,825.3732876982881
451,451,-1042.293648669046,980.4359589284592
452,452,-969.8642838021414,924.7923630356132
453,453,-894.2778554219273,867.7131267320519
454,454,-884.0500698797346,862.8418140588467
455,455,-829.0450628917611,820.357632652962
456,456,-831.8405566025849,822.6218693876658
457,457,-942.6565009423264,906.5596824488991
458,458,-960.6908508480938,922.0037142040093
459,459,-918.8217657632845,893.4033427836084
460,460,-887.039589186956,871.6630085052476
461,461,-871.7356302682605,859.9967076547229
462,462,-885.3620672414344,871.6970368892505
463,463,-833.2258605172909,832.8273332003255
464,464,-817.0032744655618,819.744599880293
465,465,-770.6029470190057,784.5701398922637
466,466,-778.9426523171051,789.7131259030374
467,467,-905.1483870853945,886.4418133127336
468,468,-872.933548376855,865.2976319814603
469,469,-858.0401935391695,852.9678687833143
470,470,-820.3361741852526,822.3710819049829
471,471,-751.6025567667273,770.2339737144847
472,472,-829.7423010900545,831.2105763430362
473,473,-845.768070981049,842.8895187087326
474,474,-925.1912638829442,903.6005668378593
475,475,-931.9721374946498,912.1405101540734
476,476,-912.7749237451849,896.726459138666
477,477,-860.7974313706663,855.3538132247993
478,478,-802.1176882335997,808.7184319023194
