,Episode,Return,Step
444,444,191.85897579909687,35.141028801247295
445,445,192.57307821918718,34.42692592112257
446,446,192.91577039726846,34.08423332901031
447,447,193.42419335754164,33.57580999610928
448,448,194.18177402178748,32.81822899649835
449,449,194.46359661960872,32.53640609684851
450,450,196.41723695764787,30.58276548716366
451,451,195.97551326188307,31.024488938447295
452,452,196.67796193569478,30.322040044602563
453,453,197.1101657421253,29.889836040142306
454,454,197.99914916791278,29.000852436128078
455,455,196.3992342511215,30.60076719251527
456,456,193.75931082600934,33.24069047326374
457,457,194.0833797434084,32.916621425937365
458,458,195.27504176906754,31.72495928334363
459,459,193.2475375921608,33.75246335500927
460,460,193.72278383294474,33.27721701950834
461,461,195.7505054496503,31.24949531755751
462,462,197.17545490468527,29.82454578580176
463,463,196.55790941421674,30.442091207221583
464,464,197.3021184727951,29.697882086499426
465,465,198.9719066255156,28.028093877849486
466,466,199.17471596296403,27.82528449006454
467,467,199.75724436666763,27.242756041058087
468,468,200.1815199300009,26.818480436952278
469,469,201.5633679370008,25.436632393257053
470,470,201.10703114330073,25.892969153931347
471,471,201.09632802897065,25.903672238538213
472,472,201.68669522607357,25.313305014684392
473,473,200.6180257034662,26.38197451321595
474,474,201.15622313311957,25.843777061894357
475,475,201.3406008198076,25.65939935570492
476,476,202.40654073782684,24.59345942013443
477,477,200.96588666404415,26.034113478120986
478,478,201.36929799763973,25.630702130308887
479,479,202.13236819787576,24.867631917278
480,480,201.9191313780882,25.0808687255502
481,481,201.82721824027936,25.17278185299518
482,482,200.64449641625143,26.35550366769566
483,483,199.78004677462627,27.219953300926097
484,484,200.40204209716364,26.597957970833484
485,485,200.26183788744729,26.738162173750137
486,486,199.93565409870254,27.064345956375124
487,487,200.44208868883229,26.557911360737613
488,488,199.79787981994906,27.202120224663854
489,489,200.41809183795417,26.581908202197468
490,490,201.47628265415875,25.52371738197772
491,491,200.72865438874288,26.27134564377995
492,492,199.35578894986858,27.644211079401956
493,493,200.32021005488173,26.679789971461762
494,494,200.78818904939357,26.211810974315586
495,495,201.60937014445423,25.390629876884027
496,496,202.6484331300088,24.351566889195624
497,497,203.58358981700792,23.41641020027606
498,498,203.62523083530715,23.374769180248457
499,499,202.76270775177645,24.23729226222361
500,500,201.88643697659882,25.113563036001253
501,501,202.29779327893894,24.70220673240113
502,502,202.06801395104506,24.931986059161016
503,503,202.36121255594057,24.638787453244912
504,504,203.52509130034653,23.474908707920424
505,505,204.77258217031186,22.227417837128378
506,506,205.29532395328067,21.70467605341554
507,507,206.16579155795262,20.834208448073987
508,508,206.34921240215738,20.650787603266586
509,509,204.61429116194165,22.385708842939927
510,510,200.6528620457475,26.347137958645934
511,511,200.98757584117277,26.012424162781343
512,512,198.2888182570555,28.711181746503208
513,513,197.35993643134998,29.640063571852885
514,514,197.42394278821496,29.576057214667596
515,515,197.88154850939347,29.118451493200837
516,516,193.1933936584541,33.80660634388075
517,517,193.9740542926087,33.025945709492674
518,518,188.77664886334784,38.22335113854341
519,519,190.29898397701308,36.70101602468907
520,520,191.26908557931176,35.73091442222017
521,521,191.2421770213806,35.75782297999815
522,522,192.71795931924254,34.28204068199834
523,523,192.64616338731827,34.35383661379851
524,524,189.78154704858645,37.21845295241866
525,525,189.9033923437278,37.0966076571768
526,526,192.31305310935502,34.686946891459115
527,527,193.8817477984195,33.11825220231321
528,528,194.79357301857755,32.20642698208189
529,529,195.01421571671978,31.9857842838737
530,530,194.8127941450478,32.18720585548633
531,531,195.53151473054302,31.468485269937702
532,532,193.87836325748873,33.121636742943934
533,533,195.89052693173986,31.109473068649542
534,534,196.90147423856587,30.098525761784586
535,535,198.1113268147093,28.88867318560613
536,536,199.40019413323836,27.599805867045518
537,537,199.26017471991452,27.739825280340966
538,538,200.73415724792306,26.26584275230687
539,539,201.56074152313076,25.439258477076184
540,540,201.9046673708177,25.095332629368563
541,541,203.0142006337359,23.985799366431706
542,542,203.1127805703623,23.887219429788537
543,543,203.60150251332607,23.39849748680968
544,544,203.84135226199345,23.158647738128714
545,545,203.7572170357941,23.242782964315843
546,546,204.08149533221467,22.91850466788426
547,547,204.3733457989932,22.626654201095835
548,548,205.13601121909386,21.86398878098625
549,549,204.92241009718447,22.077589902887624
550,550,204.73016908746604,22.26983091259886
551,551,202.55715217871943,24.442847821338972
552,552,196.4014369608475,30.598563039205075
553,553,197.06129326476275,29.938706735284565
554,554,198.9551639382865,28.044836061756108
555,555,200.15964754445784,26.8403524555805
556,556,200.24368279001206,26.756317210022452
557,557,199.41931451101084,27.580685489020208
558,558,200.77738305990974,26.222616940118186
559,559,202.29964475391876,24.70035524610637
560,560,200.96968027852688,26.03031972149573
561,561,202.5727122506742,24.427287749346156
562,562,203.01544102560675,23.98455897441154
563,563,203.21389692304606,23.786103076970388
564,564,197.79250723074148,29.207492769273347
565,565,198.71325650766732,28.286743492346012
566,566,197.9419308569006,29.05806914311141
567,567,198.34773777121052,28.65226222880027
568,568,197.31296399408944,29.687036005920245
569,569,198.7816675946805,28.21833240532822
570,570,198.80350083521245,28.196499164795398
571,571,199.0231507516912,27.976849248315858
572,572,199.62083567652206,27.37916432348427
573,573,197.95875210886987,29.041247891135843
574,574,196.7628768979829,30.237123102022256
575,575,196.3865892081846,30.61341079182003
576,576,196.84793028736615,30.152069712638024
577,577,198.06313725862955,28.936862741374224
578,578,198.5568235327666,28.4431764672368
579,579,198.80114117948995,28.198858820513117
580,580,199.12102706154096,27.878972938461807
581,581,200.50892435538685,26.491075644615627
582,582,198.75803191984818,28.241968080154063
583,583,199.58222872786337,27.41777127213866
584,584,198.02400585507704,28.97599414492479
585,585,198.4216052695693,28.57839473043231
586,586,198.9794447426124,28.02055525738908
587,587,196.88150026835115,30.11849973165017
588,588,198.39335024151603,28.606649758485155
589,589,197.55401521736442,29.44598478263664
590,590,199.29861369562798,27.701386304372974
591,591,199.06875232606518,27.931247673935676
592,592,199.56187709345866,27.43812290654211
593,593,200.90568938411278,26.094310615887895
594,594,200.6151204457015,26.384879554299104
595,595,200.45360840113136,26.546391598869196
596,596,201.10824756101823,25.891752438982277
597,597,201.59742280491642,25.40257719508405
598,598,201.63768052442478,25.362319475575646
599,599,202.6739124719823,24.326087528018082
600,600,203.50652122478408,23.493478775216275
601,601,204.75586910230567,22.244130897694646
602,602,201.7802821920751,25.219717807925182
603,603,202.8022539728676,24.197746027132663
604,604,203.32202857558082,23.677971424419397
605,605,204.38982571802273,22.610174281977457
606,606,203.55084314622047,23.44915685377971
607,607,204.19575883159843,22.804241168401738
608,608,201.87618294843858,25.123817051561563
609,609,202.78856465359473,24.21143534640541
610,610,202.30970818823528,24.69029181176487
611,611,203.57873736941175,23.42126263058838
612,612,204.22086363247058,22.779136367529542
613,613,203.89877726922353,23.10122273077659
614,614,204.00889954230118,22.99110045769893
